,title,budget,popularity,release_year,revenue,runtime,vote_average,vote_count
0,The Godfather,"36,703,349.28",41.109264,1972,"1,499,126,346.72",175,8.5,6024
1,The Shawshank Redemption,"43,134,278.00",51.645403,1994,"48,899,552.11",142,8.5,8358
2,Fight Club,"96,693,277.31",63.869599,1999,"154,791,744.55",139,8.3,9678
3,Schindler's List,"38,930,103.81",41.725123,1993,"568,672,494.68",195,8.3,4436
4,One Flew Over the Cuckoo's Nest,"14,258,364.31",35.529554,1975,"517,964,907.39",133,8.3,3001
5,The Dark Knight,"219,714,352.07",123.167259,2008,"1,193,058,960.20",152,8.3,12269
6,Whiplash,"3,564,892.27",64.29999000000001,2014,"14,142,899.87",105,8.3,4376
7,Psycho,"6,970,831.20",36.826309,1960,"276,432,432.43",109,8.3,2405
8,The Godfather: Part II,"67,425,963.49",36.629307,1974,"246,586,297.03",200,8.3,3418
9,Pulp Fiction,"13,802,968.96",140.95023600000005,1994,"369,106,507.72",154,8.3,8670
10,GoodFellas,"48,909,716.91",15.424092000000002,1990,"91,630,190.86",145,8.2,3211
11,The Empire Strikes Back,"55,856,796.12",19.470959,1980,"1,670,738,834.95",124,8.2,5998
12,American History X,"31,374,233.13",18.157166,1998,"37,453,190.02",119,8.2,3120
13,Forrest Gump,"94,895,411.61",48.307194,1994,"1,169,707,412.44",142,8.2,8147
14,12 Angry Men,"3,184,875.44",16.503959,1957,"9,099,644.13",96,8.2,2130
15,Rear Window,"9,505,576.21",17.911314,1954,"349,465,978.96",112,8.2,1531
16,The Green Mile,"92,088,835.53",19.96678,1999,"436,808,043.22",189,8.2,4166
17,The Shining,"58,959,951.46",19.611589,1980,"136,592,749.17",144,8.1,3890
18,Inception,"187,583,677.21",29.108149,2010,"967,852,947.06",148,8.1,14075
19,The Lord of the Rings: The Return of the King,"130,629,347.83",29.324358,2003,"1,554,890,825.71",201,8.1,8226
20,The Silence of the Lambs,"35,670,337.74",4.307222,1991,"512,043,797.03",119,8.1,4549
21,Se7en,"55,368,110.24",18.45743,1995,"549,170,881.54",127,8.1,5915
22,The Usual Suspects,"10,066,929.13",16.302466,1995,"39,162,985.15",106,8.1,3334
23,Interstellar,"178,244,613.43",32.213481,2014,"729,312,160.32",169,8.1,11187
24,Memento,"13,364,111.50",15.450789000000002,2000,"58,984,876.00",113,8.1,4168
25,Reservoir Dogs,"2,187,027.80",12.22034,1992,"26,720,024.87",99,8.1,3821
26,Taxi Driver,"5,842,003.51",14.092713,1976,"127,007,735.88",114,8.1,2632
27,Star Wars,"46,414,191.42",42.149697,1977,"3,271,770,138.45",121,8.1,6778
28,Dead Poets Society,"33,818,387.10",19.905716,1989,"486,366,384.36",129,8.1,2786
29,The Pianist,"49,747,081.71",14.811594,2002,"170,664,579.98",150,8.1,1927
30,Room,"6,473,417.72",12.443291,2015,"38,195,061.27",117,8.1,2838
31,It's a Wonderful Life,"41,698,769.23",15.031588,1946,"126,461,667.02",130,8.0,1103
